OBJECTID,Class_name,Shape_Length,Shape_Area,Year
26150,disk,22.904932,2.79859847,2023
26188,disk,35.27390387,3.455786409,2023
26431,disk,24.22049896,6.036844725,2023
26935,disk,60.83328963,13.18774471,2023
27413,disk,34.99983532,4.511743766,2023
27460,disk,26.40738786,10.34449273,2023
27836,disk,27.27076555,5.149077405,2023
28040,disk,25.60480006,3.059860539,2023
29608,disk,22.6068578,3.439025175,2023
29634,disk,24.10202938,3.619013379,2023
30246,disk,79.40854761,19.76210222,2023
30318,disk,38.74089212,9.784955524,2023
30405,disk,30.8123097,4.154351124,2023
30733,disk,19.16794368,3.929540894,2023
30955,disk,80.95023918,16.40485339,2023
31250,disk,61.79759134,16.76850799,2023
31768,disk,28.40636722,3.141560041,2023
31953,disk,22.58523829,2.89388018,2023
32133,disk,74.09456965,15.90874351,2023
32241,disk,53.51926122,21.55503491,2023
32268,disk,28.92904057,9.513754765,2023
